,category,parent_category
1,caribbean,caribbean
2,dominican,caribbean
3,haitian,caribbean
4,puertorican,caribbean
5,trinidadian,caribbean
6,cuban,caribbean
7,honduran,caribbean
8,nicaraguan,caribbean
9,argentine,southamerican
10,brazilian,southamerican
11,izakaya,southamerican
12,latin,southamerican
13,colombian,southamerican
14,salvadoran,southamerican
15,venezuelan,southamerican
16,peruvian,southamerican
17,chinese,chinese
18,cantonese,chinese
19,dimsum,chinese
20,hainan,chinese
21,shanghainese,chinese
22,szechuan,chinese
23,hkcafe,chinese
24,japanese,japanese
25,conveyorsushi,japanese
26,japacurry,japanese
27,ramen,japanese
28,teppanyaki,japanese
29,sushi,japanese
30,burmese,southeastasian
31,cambodian,southeastasian
32,filipino,southeastasian
33,guamanian,southeastasian
34,indonesian,southeastasian
35,bangladeshi,southeastasian
36,laotian,southeastasian
37,malaysian,southeastasian
38,singaporean,southeastasian
39,thai,southeastasian
40,vietnamese,southeastasian
41,asianfusion,otherasia
42,himalayan,otherasia
43,hotpot,otherasia
44,korean,otherasia
45,mongolian,otherasia
46,panasian,otherasia
47,srilankan,otherasia
48,taiwanese,otherasia
49,uzbek,otherasia
50,african,african
51,senegalese,african
52,southafrican,african
53,ethiopian,african
54,mauritius,african
55,egyptian,african
56,moroccan,african
57,italian,italian
58,calabrian,italian
59,sardinian,italian
60,tuscan,italian
61,pizza,italian
62,brasseries,french
63,cajun,french
64,creperies,french
65,fondue,french
66,french,french
67,poutineries,french
68,austrian,othereurope
69,basque,othereurope
70,belgian,othereurope
71,british,othereurope
72,german,othereurope
73,hungarian,othereurope
74,irish,othereurope
75,modern_european,othereurope
76,scandinavian,othereurope
77,scottish,othereurope
78,greek,mediterranean
79,portuguese,mediterranean
80,spanish,mediterranean
81,turkish,mediterranean
82,mediterranean,mediterranean
83,catalan,mediterranean
84,iberian,mediterranean
85,russian,slavic
86,polish,slavic
87,ukrainian,slavic
88,czech,slavic
89,slovakian,slavic
90,newamerican,american
91,tradamerican,american
92,bbq,american
93,burgers,american
94,cheesesteaks,american
95,chicken_wings,american
96,hawaiian,american
97,hotdog,american
98,southern,american
99,afghani,middleeastern
100,arabian,middleeastern
101,armenian,middleeastern
102,halal,middleeastern
103,kebab,middleeastern
104,kosher,middleeastern
105,falafel,middleeastern
106,mideastern,middleeastern
107,lebanese,middleeastern
108,persian,middleeastern
109,syrian,middleeastern
110,indpak,indiapakistan
111,pakistani,indiapakistan
112,mexican,mexican
113,tacos,mexican
114,newmexican,mexican
115,tex-mex,mexican
116,australian,australian
