category_joint_id,category_id,joint_int_id
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,2,1
12,2,3
13,2,6
14,2,5
15,2,9
16,2,7
17,2,10
18,6,11
19,12,1
20,12,12
21,12,13
22,12,14
23,12,15
24,12,16
25,12,3
26,12,17
27,12,18
28,12,19
29,12,6
30,12,20
31,12,21
32,12,22
33,12,4
34,12,23
35,12,24
36,15,13
37,17,25
38,17,26
39,17,27
40,17,28
41,17,29
42,17,30
43,17,31
44,17,32
45,29,33
46,39,34
47,41,24
48,56,24
49,57,35
50,57,36
51,61,37
52,61,38
53,61,39
54,61,40
55,61,41
56,61,42
57,80,43
58,80,44
59,82,45
60,90,46
61,90,47
62,90,48
63,90,8
64,90,49
65,91,6
66,92,50
67,93,51
68,93,52
69,93,53
70,93,54
71,93,55
72,102,56
73,112,57
74,112,58
75,112,47
76,112,59
77,112,60
78,112,61
79,112,62
80,112,63
81,112,64
82,112,65
83,112,5
84,115,61
85,1,66
86,1,67
87,1,68
88,1,69
89,1,70
90,1,71
91,2,67
92,2,71
93,2,68
94,4,69
95,12,68
96,12,72
97,12,73
98,12,74
99,12,69
100,12,75
101,12,76
102,12,77
103,12,78
104,12,79
105,17,80
106,17,81
107,24,82
108,29,82
109,57,83
110,57,84
111,57,85
112,61,86
113,61,87
114,61,85
115,61,84
116,61,88
117,61,89
118,80,66
119,80,90
120,80,91
121,80,92
122,90,93
123,90,94
124,90,76
125,91,95
126,91,93
127,91,96
128,91,67
129,93,97
130,95,98
131,95,99
132,95,88
133,112,100
134,112,101
135,112,102
136,112,103
137,112,77
138,112,104
139,1,105
140,1,106
141,1,107
142,2,105
143,12,108
144,12,109
145,12,110
146,12,111
147,17,112
148,17,113
149,17,114
150,17,115
151,17,116
152,29,117
153,57,118
154,57,119
155,61,118
156,61,120
157,61,121
158,61,122
159,61,123
160,61,119
161,66,124
162,80,125
163,80,126
164,90,124
165,90,127
