joint_int_id,address,joint_str_id,name
1,565 W 207th St,raices-new-york,Raices
2,500 W 207th St,el-lina-restaurant-manhattan,El Lina Restaurant
3,512 W 207th St,johns-fried-chicken-new-york,John's Fried Chicken
4,101 Dyckman St,dyckman-express-restaurant-new-york,Dyckman Express Restaurant
5,5085 Broadway,la-essencia-restaurant-new-york-2,La Essencia Restaurant
6,582 W 207th St,el-fuerte-deli-restaurant-new-york-2,El Fuerte Deli Restaurant
7,111 Dyckman St,rico-chimi-new-york,Rico Chimi
8,4932 Broadway,pick-and-eat-new-york-3,Pick & Eat
9,537 W 207 St,stop-809-new-york,Stop 809
10,4032 10th Ave,el-nuevo-sabor-new-york-2,El Nuevo Sabor
11,5060 Broadway,brown-sugar-new-york-2,Brown Sugar
12,538W 207th St,genesis-manhattan,Genesis
13,107B Dyckman St,cachapas-y-mas-new-york,Cachapas y Mas
14,4840 Broadway,elsa-la-reina-del-chicharron-new-york,Elsa La Reina Del Chicharron
15,501 W 214th St,cafe-tabaco-and-ron-new-york,Cafe Tabaco & Ron
16,4026 10th Ave,sahara-cafe-and-lounge-new-york,Sahara Cafe & Lounge
17,524 W 207st,bakare-restaurant-lounge-new-york,Bakare Restaurant Lounge
18,238 Sherman Ave,fantastic-restaurant-and-lounge-new-york,Fantastic Restaurant & Lounge
19,538 W 207th St,restaurante-ecuatoriano-génesis-new-york-2,Restaurante Ecuatoriano Génesis
20,231 Sherman Ave,el-viejo-jobo-restaurant-new-york,El Viejo Jobo Restaurant
21,263 Sherman Avenue,mimosa-cafe-new-york,Mimosa Cafe
22,3856 10th Ave,el-floridita-restaurant-new-york-2,El Floridita Restaurant
23,606 W 207th St,la-nueva-espana-new-york,La Nueva Espana
24,W444 204 St,ganesha-outdoor-room-new-york-2,Ganesha Outdoor Room
25,4840 Broadway,lotus-express-manhattan,Lotus Express
26,586 W 207th St,amys-restaurant-new-york,Amy's Restaurant
27,666 W 204th St,hang-lee-chinese-new-york,Hang Lee Chinese
28,4926 Broadway,u-like-chinese-take-out-new-york,U Like Chinese Take Out
29,563A W 207th St,empire-chinese-restaurant-new-york,Empire Chinese Restaurant
30,3864 10th Ave,ten-tan-chinese-restaurant-new-york,Ten-Tan Chinese Restaurant
31,107 Dyckman St,golden-dragon-new-york-2,Golden Dragon
32,586 W 207th St,amys-restaurant-chinese-and-asian-cuisine-new-york-2,Amy's Restaurant Chinese & Asian Cuisine
33,586 W 207th St,soju-restaurant-and-lounge-new-york,Soju Restaurant & Lounge
34,4959 Broadway,yummy-thai-new-york,Yummy Thai
35,575 W 207th St,anchor-heights-new-york,Anchor Heights
36,3950 10th Ave,viale-new-york,Viale
37,4973 Broadway,grandpas-brick-oven-pizza-new-york,Grandpa's Brick Oven Pizza
38,4942 Broadway,pizza-haven-new-york,Pizza Haven
39,553 W 207th St,delios-pizza-new-york,Delio's Pizza
40,525 W 207th St,little-caesars-new-york-10,Little Caesars
41,582 W 207th St,famous-rays-pizza-buffet-new-york,Famous Ray's Pizza Buffet
42,3867 10th Ave,puma-pizzeria-manhattan,Puma Pizzeria
43,4986 Broadway,jr-primos-ii-restaurant-new-york,JR Primos-Ii Restaurant
44,4930 Broadway,tropical-rotisserie-chicken-manhattan,Tropical Rotisserie Chicken
45,630 W 207th St,titem-deli-new-york,Titem Deli
46,4961 Broadway,garden-cafe-new-york-3,Garden Cafe
47,634 W 207th St,gs-coffee-shop-new-york,G's Coffee Shop
48,600 W 218th St,indian-road-cafe-new-york,Indian Road Cafe
49,4996 Broadway,cafe-de-broadway-new-york-2,Cafe De Broadway
50,4892 Broadway,inwood-bar-and-grill-new-york,Inwood Bar and Grill
51,3869 10th Ave,jimbos-hamburger-palace-manhattan,Jimbo's Hamburger Palace
52,117 Dyckman St,jimbos-hamburger-palace-new-york-3,Jimbo's Hamburger Palace
53,204 Sherman Ave,chimichury-el-malecón-manhattan-2,Chimichury El Malecón
54,608 W 207th St,mcdonalds-new-york-141,McDonald's
55,212 Nagle Ave,agua-roja-hookah-bar-and-lounge-manhattan,Agua Roja Hookah Bar & Lounge
56,Broadway,jollys-gyro-new-york,Jolly's Gyro
57,597 W 207th St,guadalupe-restaurant-new-york-2,Guadalupe Restaurant
58,3868 10th Ave,la-lomita-mexican-deli-new-york,La Lomita Mexican Deli
59,3861 10th Ave,el-nuevo-azteca-new-york,El Nuevo Azteca
60,5025 Broadway,guacamole-taqueria-new-york,Guacamole Taqueria
61,253 Sherman Ave,juniors-tacos-manhattan,Junior's Tacos
62,3950 10th Ave,made-in-mexico-new-york,Made In Mexico
63,595 W 207th Street,fresh-tortillas-new-york-2,Fresh Tortilla's
64,584 W 207th St,el-anafe-supreme-new-york,El Anafe Supreme
65,no_address,la-suegra-de-dyckman-manhattan,La Suegra De Dyckman
66,112 Dyckman St,809-sangria-bar-and-grill-new-york,809 Sangria Bar & Grill
67,7 Henshaw St,cloisters-deli-and-grill-new-york,Cloisters Deli and Grill
68,25 Sherman Ave,berti-restaurant-and-lounge-new-york,Berti Restaurant & Lounge
69,186 Dyckman St,don-coqui-new-york,Don Coqui
70,125 Nagle Ave,rincon-cibaeno-restaurant-new-york,Rincon Cibaeno Restaurant
71,4762 Broadway,albertos-mofongo-new-york,Alberto's Mofongo
72,4762 Broadway,aroma-seafood-new-york-14,Aroma Seafood
73,78 Sherman Ave,ceci-restaurant-new-york,Ceci Restaurant
74,206 Dyckman St,burgos-restaurant-new-york,Burgos Restaurant
75,4799 Broadway,caridad-broadway-new-york,Caridad Broadway
76,200 Dyckman St,pop-and-pour-cafe-new-york,Pop and Pour Cafe
77,110 Sherman Ave,rancho-los-compadres-new-york,Rancho Los Compadres
78,151 Nagle Ave,abu-dhabi-restaurant-and-hookah-lounge-new-york,Abu Dhabi Restaurant & Hookah Lounge
79,25 Sherman Ave,parada-maimón-new-york,Parada Maimón
80,82 Nagle Ave,panda-house-new-york-2,Panda House
81,200 Dyckman St,china-sea-manhattan,China Sea
82,237 Dyckman St,mama-sushi-new-york,Mama Sushi
83,233 Dyckman St,il-sole-new-york,Il Sole
84,94 Nagle Ave,piezano-pizza-new-york,Piezano Pizza
85,4771 Broadway,tonys-pizza-pasta-and-gyro-new-york,"Tony's Pizza, Pasta & Gyro"
86,121 Dyckman St,pizza-palace-new-york,Pizza Palace
87,150 Dyckman St,pizza-nova-new-york-2,Pizza Nova
88,4797 Broadway,dominos-pizza-new-york-2,Domino's Pizza
89,94 Nagle Ave,pizza-shop-new-york-2,Pizza Shop
90,247 Dyckman St,mamajuana-cafe-new-york,Mamajuana Cafe
91,229 Dyckman St,majas-tapas-and-bar-new-york,Maja's Tapas & Bar
92,151 Dyckman St,lotus-cafe-new-york,Lotus Cafe
93,219 Dyckman St,the-park-view-new-york,The Park View
94,348 Dyckman St,la-marina-new-york,La Marina
95,4740 Broadway,tryon-public-house-new-york,Tryon Public House
96,251 Dyckman St,pate-palo-bar-and-grill-new-york,Pat'e Palo Bar & Grill
97,208 Dyckman St,mcdonalds-manhattan-37,McDonald's
98,158 Nagle Ave,kennedy-fried-chicken-new-york-5,Kennedy Fried Chicken
99,200 Dyckman St,crown-fried-chicken-new-york-12,Crown Fried Chicken
100,101 Sherman Ave,7-tacos-authentic-mexican-new-york,7 Tacos Authentic Mexican
101,121A Nagle Ave,taquería-los-jarritos-new-york-3,Taquería Los Jarritos
102,223 Dyckman St,papasito-mexican-grill-and-agave-bar-new-york,Papasito Mexican Grill & Agave Bar
103,206 Dyckman St.,acapulco-deli-and-grocery-new-york,Acapulco Deli & Grocery
104,117 Nagle Ave,tacos-and-burritos-el-primito-new-york,Tacos & Burritos El Primito
105,1601 St Nicholas Ave,kukaramakara-restaurant-new-york,Kukaramakara Restaurant
106,1590 Saint Nicholas Ave,restaurant-chelys-new-york,Restaurant Chely's
107,1562 St Nicholas Ave,caribe-restaurant-manhattan,Caribe Restaurant
108,4384 Broadway,la-cabana-salvadorena-new-york,La Cabana Salvadorena
109,1552 St Nicholas Ave,qkachapa-manhattan,Q'Kachapa
110,589 Ft Washington Ave,monkey-room-new-york,Monkey Room
111,1559 Saint Nicholas Ave,la-potencia-new-york,La Potencia
112,816 W 187th St,yang-garden-chinese-restaurant-manhattan,Yang Garden Chinese Restaurant
113,4480 Broadway,no-1-restaurant-new-york-2,No. 1 Restaurant
114,4421 Broadway,chans-kitchen-new-york-2,Chan's Kitchen
115,1614 Saint Nicholas Avenue,hang-lung-chinese-restaurant-new-york,Hang Lung Chinese Restaurant
116,4486 Broadway,yeungs-number-1-chinese-restaurant-new-york,Yeung's Number 1 Chinese Restaurant
117,813 W 187th St,next-door-new-york-2,Next Door
118,4484 Broadway,wahizza-new-york,Wahizza
119,4417 Broadway,riossi-pizza-new-york,Riossi Pizza
120,4455 Broadway,bodega-pizza-new-york,Bodega Pizza
121,804 W 187th St,frescos-pizzeria-new-york,Fresco's Pizzeria
122,1611 Saint Nicholas Ave,arcade-pizza-new-york,Arcade Pizza
123,1593 St Nicholas Ave,mediterraneo-pizza-new-york-2,Mediterraneo Pizza
124,209 Pinehurst Avenue,the-pandering-pig-new-york,The Pandering Pig
125,808 W 187th St,las-tapas-new-york,Las Tapas
126,4325 Broadway,altus-cafe-new-york,Altus Cafe
127,1 Margaret Corbin Dr,new-leaf-restaurant-and-bar-new-york-3,New Leaf Restaurant & Bar
128,4460 Broadway,angry-burger-gastropub-new-york,Angry Burger Gastropub
129,4463 Broadway,locksmith-burger-bar-new-york,Locksmith Burger Bar
130,4419 Broadway,jordans-snack-bar-and-burger-new-york,Jordan's Snack Bar & Burger
131,1550 St Nicholas Ave,kennedys-chicken-and-grill-new-york-2,Kennedy's Chicken & Grill
132,601 W 191st St,popeyes-new-york-8,Popeyes
133,603 Fort Washington Ave,kismat-indian-restaurant-new-york-2,Kismat Indian Restaurant
134,1555 St Nicholas Ave,grito-mexican-grill-new-york,Grito Mexican Grill
135,591 Fort Washington Ave,refried-beans-mexican-grill-new-york-3,Refried Beans Mexican Grill
136,1548 Saint Nicholas Ave,tacos-el-paisa-new-york,Tacos El Paisa
137,1555 St. Nicholas Ave,taqueria-los-jarritos-new-york,Taqueria Los Jarritos
138,4141 Broadway,malecon-restaurant-new-york-2,Malecon Restaurant
139,1342 Saint Nicholas Ave,capri-restaurant-new-york-2,Capri Restaurant
140,1390 St Nicholas Ave,south-beach-restaurant-and-lounge-new-york,South Beach Restaurant & Lounge
141,4179 Broadway,pick-and-eat-new-york,Pick & Eat
142,1447 St Nicholas Ave,la-casa-del-mofongo-new-york-2,La Casa Del Mofongo
143,1318 Saint Nicholas Ave,humbertos-rice-and-beans-new-york,Humberto's Rice & Beans
144,4235 Broadway,seafood-juniors-new-york,Seafood Junior's
145,554 W 181st St,caridad-express-restaurant-manhattan,Caridad Express Restaurant
146,1341 Saint Nicholas Ave,pilon-bar-and-restaurant-new-york,Pilon Bar and Restaurant
147,4162 Broadway,el-floridita-new-york-2,El Floridita
148,4139 Broadway,el-conde-restaurant-new-york,El Conde Restaurant
149,4195 Broadway,el-guanaco-new-york,El Guanaco
150,4195 Broadway St,tu-cachapa-new-york,Tu Cachapa
151,4181 Broadway,mambi-restaurant-new-york,Mambi Restaurant
152,4129 Broadway,mi-paso-centroamericano-restaurant-new-york,Mi Paso Centroamericano Restaurant
153,4235 Broadway,boca-chica-new-york-2,Boca Chica
154,4233 Broadway,fresh-express-new-york,Fresh Express
155,4127 Broadway,calle-174-pescaderia-new-york,Calle 174 Pescaderia
156,4247 Broadway,golden-star-new-york-3,Golden Star
157,4316 Broadway,king-garden-restaurant-new-york,King Garden Restaurant
158,4131 Broadway,new-hua-yung-kitchen-new-york,New Hua Yung Kitchen
159,825 W 181st St,no-1-chinese-restaurant-new-york-2,No 1 Chinese Restaurant
160,800 W 181st St,great-wall-chinese-food-new-york,Great Wall Chinese Food
161,1430 Saint Nicholas Avenue,silver-palace-chinese-restaurant-new-york,Silver Palace Chinese Restaurant
162,1309 Saint Nicholas Ave,happy-world-restaurant-new-york,Happy World Restaurant
163,1 Bennett Ave,tampopo-ramen-new-york,Tampopo Ramen
164,827 W 181st St,sushi-yu-2-new-york,Sushi Yu 2
165,812 W 181st St,tung-thong-181-new-york-2,Tung Thong 181
166,829 W 181st St,saggio-new-york-2,Saggio
167,810 W 181st St,exclusive-pizza-new-york,Exclusive Pizza
168,1422 Saint Nicholas Ave,papis-pizzeria-new-york,Papi's Pizzeria
169,726 W 181st St,georges-pizza-new-york,George's Pizza
170,4185 Broadway,tommys-pizza-new-york,Tommy's Pizza
171,736 W 181st St,dominos-pizza-new-york-18,Domino's Pizza
172,659 W 181st St,tanoor-pizza-and-grill-new-york,Tanoor Pizza & Grill
173,4312 Broadway,broadway-pizzeria-and-coffee-shop-new-york,Broadway Pizzeria & Coffee Shop
174,701 W 179th St,papa-johns-pizza-new-york-5,Papa John's Pizza
175,1332 Saint Nicholas Ave,little-caesars-new-york,Little Caesars
176,4195 Broadway,pizza-nova-new-york-3,Pizza Nova
177,839 W 181st St,le-chéile-new-york-2,Le Chéile
178,4165 Broadway,manolo-tapas-new-york,Manolo Tapas
179,854 W 181st St,181-cabrini-new-york,181 Cabrini
180,4241 Broadway,bar180-new-york,Bar180
181,4168 Bdwy,ihop-new-york-23,IHOP
182,177 Wadsworth Ave,burger-heights-new-york-2,Burger Heights
183,1419 St. Nicholas Ave,burger-king-manhattan-13,Burger King
184,4259 Broadway,mcdonalds-new-york-46,McDonald's
185,711 W 181 St,la-piñata-mexican-cuisine-new-york,La Piñata Mexican Cuisine
186,1455 Saint Nicholas Ave,la-villita-one-new-york,La Villita One
187,1351 St Nicholas Ave,taco-bell-new-york-38,Taco Bell
188,554 W 181st St,el-rey-del-bistec-y-caridad-new-york-2,El Rey Del Bistec Y Caridad
189,4093 Broadway,empanadas-monumental-manhattan,Empanadas Monumental
190,2228 Amsterdam Ave,taino-restaurant-new-york,Taino Restaurant
191,4059 Broadway,la-dinastia-ii-new-york,La Dinastia II
192,1249 St. Nicholas Ave,elsa-la-reina-del-chicharron-new-york-2,Elsa La Reina Del Chicharron
193,4073 Broadway,el-nuevo-caridad-new-york,El Nuevo Caridad
